Date : 2024-03-27 22:08:12
Directory : d:\Project\Java\Springboot_Vue_Mall
Total : 659 files,  36486 codes, 1051 comments, 3498 blanks, all 41035 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| backend\src                                                                                                                                                  |        132 |      4,147 |        141 |      1,129 |      5,417 |
| backend\src\main                                                                                                                                             |        131 |      4,117 |        141 |      1,120 |      5,378 |
| backend\src\main\java                                                                                                                                        |        112 |      3,659 |        139 |      1,094 |      4,892 |
| backend\src\main\java\com                                                                                                                                    |        112 |      3,659 |        139 |      1,094 |      4,892 |
| backend\src\main\java\com\Shopping                                                                                                                           |        112 |      3,659 |        139 |      1,094 |      4,892 |
| backend\src\main\java\com\Shopping (Files)                                                                                                                   |          1 |          8 |          0 |          5 |         13 |
| backend\src\main\java\com\Shopping\common                                                                                                                    |          8 |        214 |          8 |         45 |        267 |
| backend\src\main\java\com\Shopping\common\dto                                                                                                                |          3 |         29 |          0 |         10 |         39 |
| backend\src\main\java\com\Shopping\common\exception                                                                                                          |          2 |         56 |          3 |          9 |         68 |
| backend\src\main\java\com\Shopping\common\lang                                                                                                               |          1 |         34 |          0 |          8 |         42 |
| backend\src\main\java\com\Shopping\common\listener                                                                                                           |          1 |         35 |          5 |         13 |         53 |
| backend\src\main\java\com\Shopping\common\schedule                                                                                                           |          1 |         60 |          0 |          5 |         65 |
| backend\src\main\java\com\Shopping\config                                                                                                                    |          5 |        226 |          8 |         46 |        280 |
| backend\src\main\java\com\Shopping\controller                                                                                                                |         24 |      1,906 |         29 |        334 |      2,269 |
| backend\src\main\java\com\Shopping\domain                                                                                                                    |         20 |        641 |         68 |        377 |      1,086 |
| backend\src\main\java\com\Shopping\mapper                                                                                                                    |         20 |        144 |          0 |         99 |        243 |
| backend\src\main\java\com\Shopping\service                                                                                                                   |         24 |        211 |          0 |        130 |        341 |
| backend\src\main\java\com\Shopping\service (Files)                                                                                                           |         21 |        117 |          0 |        107 |        224 |
| backend\src\main\java\com\Shopping\service\impl                                                                                                              |          3 |         94 |          0 |         23 |        117 |
| backend\src\main\java\com\Shopping\shiro                                                                                                                     |          4 |        141 |          8 |         21 |        170 |
| backend\src\main\java\com\Shopping\util                                                                                                                      |          2 |         92 |         18 |         14 |        124 |
| backend\src\main\java\com\Shopping\vo                                                                                                                        |          4 |         76 |          0 |         23 |         99 |
| backend\src\main\resources                                                                                                                                   |         19 |        458 |          2 |         26 |        486 |
| backend\src\main\resources (Files)                                                                                                                           |          1 |         38 |          2 |          4 |         44 |
| backend\src\main\resources\crypto-config                                                                                                                     |         18 |        420 |          0 |         22 |        442 |
| backend\src\main\resources\crypto-config\ordererOrganizations                                                                                                |          6 |         84 |          0 |          6 |         90 |
| backend\src\main\resources\crypto-config\ordererOrganizations\example.com                                                                                    |          6 |         84 |          0 |          6 |         90 |
| backend\src\main\resources\crypto-config\ordererOrganizations\example.com\msp                                                                                |          1 |         14 |          0 |          1 |         15 |
| backend\src\main\resources\crypto-config\ordererOrganizations\example.com\orderers                                                                           |          4 |         56 |          0 |          4 |         60 |
| backend\src\main\resources\crypto-config\ordererOrganizations\example.com\orderers\orderer.example.com                                                       |          1 |         14 |          0 |          1 |         15 |
| backend\src\main\resources\crypto-config\ordererOrganizations\example.com\orderers\orderer.example.com\msp                                                   |          1 |         14 |          0 |          1 |         15 |
| backend\src\main\resources\crypto-config\ordererOrganizations\example.com\orderers\orderer2.example.com                                                      |          1 |         14 |          0 |          1 |         15 |
| backend\src\main\resources\crypto-config\ordererOrganizations\example.com\orderers\orderer2.example.com\msp                                                  |          1 |         14 |          0 |          1 |         15 |
| backend\src\main\resources\crypto-config\ordererOrganizations\example.com\orderers\orderer3.example.com                                                      |          1 |         14 |          0 |          1 |         15 |
| backend\src\main\resources\crypto-config\ordererOrganizations\example.com\orderers\orderer3.example.com\msp                                                  |          1 |         14 |          0 |          1 |         15 |
| backend\src\main\resources\crypto-config\ordererOrganizations\example.com\orderers\orderer4.example.com                                                      |          1 |         14 |          0 |          1 |         15 |
| backend\src\main\resources\crypto-config\ordererOrganizations\example.com\orderers\orderer4.example.com\msp                                                  |          1 |         14 |          0 |          1 |         15 |
| backend\src\main\resources\crypto-config\ordererOrganizations\example.com\users                                                                              |          1 |         14 |          0 |          1 |         15 |
| backend\src\main\resources\crypto-config\ordererOrganizations\example.com\users\Admin@example.com                                                            |          1 |         14 |          0 |          1 |         15 |
| backend\src\main\resources\crypto-config\ordererOrganizations\example.com\users\Admin@example.com\msp                                                        |          1 |         14 |          0 |          1 |         15 |
| backend\src\main\resources\crypto-config\peerOrganizations                                                                                                   |         12 |        336 |          0 |         16 |        352 |
| backend\src\main\resources\crypto-config\peerOrganizations\org1.example.com                                                                                  |          6 |        168 |          0 |          8 |        176 |
| backend\src\main\resources\crypto-config\peerOrganizations\org1.example.com (Files)                                                                          |          2 |        112 |          0 |          4 |        116 |
| backend\src\main\resources\crypto-config\peerOrganizations\org1.example.com\msp                                                                              |          1 |         14 |          0 |          1 |         15 |
| backend\src\main\resources\crypto-config\peerOrganizations\org1.example.com\peers                                                                            |          1 |         14 |          0 |          1 |         15 |
| backend\src\main\resources\crypto-config\peerOrganizations\org1.example.com\peers\peer0.org1.example.com                                                     |          1 |         14 |          0 |          1 |         15 |
| backend\src\main\resources\crypto-config\peerOrganizations\org1.example.com\peers\peer0.org1.example.com\msp                                                 |          1 |         14 |          0 |          1 |         15 |
| backend\src\main\resources\crypto-config\peerOrganizations\org1.example.com\users                                                                            |          2 |         28 |          0 |          2 |         30 |
| backend\src\main\resources\crypto-config\peerOrganizations\org1.example.com\users\Admin@org1.example.com                                                     |          1 |         14 |          0 |          1 |         15 |
| backend\src\main\resources\crypto-config\peerOrganizations\org1.example.com\users\Admin@org1.example.com\msp                                                 |          1 |         14 |          0 |          1 |         15 |
| backend\src\main\resources\crypto-config\peerOrganizations\org1.example.com\users\User1@org1.example.com                                                     |          1 |         14 |          0 |          1 |         15 |
| backend\src\main\resources\crypto-config\peerOrganizations\org1.example.com\users\User1@org1.example.com\msp                                                 |          1 |         14 |          0 |          1 |         15 |
| backend\src\main\resources\crypto-config\peerOrganizations\org2.example.com                                                                                  |          6 |        168 |          0 |          8 |        176 |
| backend\src\main\resources\crypto-config\peerOrganizations\org2.example.com (Files)                                                                          |          2 |        112 |          0 |          4 |        116 |
| backend\src\main\resources\crypto-config\peerOrganizations\org2.example.com\msp                                                                              |          1 |         14 |          0 |          1 |         15 |
| backend\src\main\resources\crypto-config\peerOrganizations\org2.example.com\peers                                                                            |          1 |         14 |          0 |          1 |         15 |
| backend\src\main\resources\crypto-config\peerOrganizations\org2.example.com\peers\peer0.org2.example.com                                                     |          1 |         14 |          0 |          1 |         15 |
| backend\src\main\resources\crypto-config\peerOrganizations\org2.example.com\peers\peer0.org2.example.com\msp                                                 |          1 |         14 |          0 |          1 |         15 |
| backend\src\main\resources\crypto-config\peerOrganizations\org2.example.com\users                                                                            |          2 |         28 |          0 |          2 |         30 |
| backend\src\main\resources\crypto-config\peerOrganizations\org2.example.com\users\Admin@org2.example.com                                                     |          1 |         14 |          0 |          1 |         15 |
| backend\src\main\resources\crypto-config\peerOrganizations\org2.example.com\users\Admin@org2.example.com\msp                                                 |          1 |         14 |          0 |          1 |         15 |
| backend\src\main\resources\crypto-config\peerOrganizations\org2.example.com\users\User1@org2.example.com                                                     |          1 |         14 |          0 |          1 |         15 |
| backend\src\main\resources\crypto-config\peerOrganizations\org2.example.com\users\User1@org2.example.com\msp                                                 |          1 |         14 |          0 |          1 |         15 |
| backend\src\test                                                                                                                                             |          1 |         30 |          0 |          9 |         39 |
| backend\src\test\java                                                                                                                                        |          1 |         30 |          0 |          9 |         39 |
| backend\src\test\java\com                                                                                                                                    |          1 |         30 |          0 |          9 |         39 |
| backend\src\test\java\com\Shopping                                                                                                                           |          1 |         30 |          0 |          9 |         39 |
| backend\target                                                                                                                                               |        134 |      4,960 |         54 |         96 |      5,110 |
| backend\target\classes                                                                                                                                       |        133 |      4,942 |         54 |         96 |      5,092 |
| backend\target\classes (Files)                                                                                                                               |          1 |         38 |          2 |          4 |         44 |
| backend\target\classes\META-INF                                                                                                                              |          1 |         62 |          0 |          0 |         62 |
| backend\target\classes\com                                                                                                                                   |        113 |      4,422 |         52 |         70 |      4,544 |
| backend\target\classes\com\Shopping                                                                                                                          |        113 |      4,422 |         52 |         70 |      4,544 |
| backend\target\classes\com\Shopping (Files)                                                                                                                  |          1 |          9 |          0 |          0 |          9 |
| backend\target\classes\com\Shopping\common                                                                                                                   |          9 |        255 |          0 |          7 |        262 |
| backend\target\classes\com\Shopping\common\dto                                                                                                               |          3 |         79 |          0 |          2 |         81 |
| backend\target\classes\com\Shopping\common\exception                                                                                                         |          2 |         34 |          0 |          0 |         34 |
| backend\target\classes\com\Shopping\common\lang                                                                                                              |          1 |         48 |          0 |          0 |         48 |
| backend\target\classes\com\Shopping\common\listener                                                                                                          |          2 |         35 |          0 |          0 |         35 |
| backend\target\classes\com\Shopping\common\schedule                                                                                                          |          1 |         59 |          0 |          5 |         64 |
| backend\target\classes\com\Shopping\config                                                                                                                   |          5 |        126 |         38 |          0 |        164 |
| backend\target\classes\com\Shopping\controller                                                                                                               |         24 |      1,499 |         14 |         43 |      1,556 |
| backend\target\classes\com\Shopping\domain                                                                                                                   |         20 |      1,950 |          0 |          0 |      1,950 |
| backend\target\classes\com\Shopping\mapper                                                                                                                   |         20 |         81 |          0 |          0 |         81 |
| backend\target\classes\com\Shopping\service                                                                                                                  |         24 |         99 |          0 |         20 |        119 |
| backend\target\classes\com\Shopping\service (Files)                                                                                                          |         21 |         44 |          0 |         20 |         64 |
| backend\target\classes\com\Shopping\service\impl                                                                                                             |          3 |         55 |          0 |          0 |         55 |
| backend\target\classes\com\Shopping\shiro                                                                                                                    |          4 |         96 |          0 |          0 |         96 |
| backend\target\classes\com\Shopping\util                                                                                                                     |          2 |         88 |          0 |          0 |         88 |
| backend\target\classes\com\Shopping\vo                                                                                                                       |          4 |        219 |          0 |          0 |        219 |
| backend\target\classes\crypto-config                                                                                                                         |         18 |        420 |          0 |         22 |        442 |
| backend\target\classes\crypto-config\ordererOrganizations                                                                                                    |          6 |         84 |          0 |          6 |         90 |
| backend\target\classes\crypto-config\ordererOrganizations\example.com                                                                                        |          6 |         84 |          0 |          6 |         90 |
| backend\target\classes\crypto-config\ordererOrganizations\example.com\msp                                                                                    |          1 |         14 |          0 |          1 |         15 |
| backend\target\classes\crypto-config\ordererOrganizations\example.com\orderers                                                                               |          4 |         56 |          0 |          4 |         60 |
| backend\target\classes\crypto-config\ordererOrganizations\example.com\orderers\orderer.example.com                                                           |          1 |         14 |          0 |          1 |         15 |
| backend\target\classes\crypto-config\ordererOrganizations\example.com\orderers\orderer.example.com\msp                                                       |          1 |         14 |          0 |          1 |         15 |
| backend\target\classes\crypto-config\ordererOrganizations\example.com\orderers\orderer2.example.com                                                          |          1 |         14 |          0 |          1 |         15 |
| backend\target\classes\crypto-config\ordererOrganizations\example.com\orderers\orderer2.example.com\msp                                                      |          1 |         14 |          0 |          1 |         15 |
| backend\target\classes\crypto-config\ordererOrganizations\example.com\orderers\orderer3.example.com                                                          |          1 |         14 |          0 |          1 |         15 |
| backend\target\classes\crypto-config\ordererOrganizations\example.com\orderers\orderer3.example.com\msp                                                      |          1 |         14 |          0 |          1 |         15 |
| backend\target\classes\crypto-config\ordererOrganizations\example.com\orderers\orderer4.example.com                                                          |          1 |         14 |          0 |          1 |         15 |
| backend\target\classes\crypto-config\ordererOrganizations\example.com\orderers\orderer4.example.com\msp                                                      |          1 |         14 |          0 |          1 |         15 |
| backend\target\classes\crypto-config\ordererOrganizations\example.com\users                                                                                  |          1 |         14 |          0 |          1 |         15 |
| backend\target\classes\crypto-config\ordererOrganizations\example.com\users\Admin@example.com                                                                |          1 |         14 |          0 |          1 |         15 |
| backend\target\classes\crypto-config\ordererOrganizations\example.com\users\Admin@example.com\msp                                                            |          1 |         14 |          0 |          1 |         15 |
| backend\target\classes\crypto-config\peerOrganizations                                                                                                       |         12 |        336 |          0 |         16 |        352 |
| backend\target\classes\crypto-config\peerOrganizations\org1.example.com                                                                                      |          6 |        168 |          0 |          8 |        176 |
| backend\target\classes\crypto-config\peerOrganizations\org1.example.com (Files)                                                                              |          2 |        112 |          0 |          4 |        116 |
| backend\target\classes\crypto-config\peerOrganizations\org1.example.com\msp                                                                                  |          1 |         14 |          0 |          1 |         15 |
| backend\target\classes\crypto-config\peerOrganizations\org1.example.com\peers                                                                                |          1 |         14 |          0 |          1 |         15 |
| backend\target\classes\crypto-config\peerOrganizations\org1.example.com\peers\peer0.org1.example.com                                                         |          1 |         14 |          0 |          1 |         15 |
| backend\target\classes\crypto-config\peerOrganizations\org1.example.com\peers\peer0.org1.example.com\msp                                                     |          1 |         14 |          0 |          1 |         15 |
| backend\target\classes\crypto-config\peerOrganizations\org1.example.com\users                                                                                |          2 |         28 |          0 |          2 |         30 |
| backend\target\classes\crypto-config\peerOrganizations\org1.example.com\users\Admin@org1.example.com                                                         |          1 |         14 |          0 |          1 |         15 |
| backend\target\classes\crypto-config\peerOrganizations\org1.example.com\users\Admin@org1.example.com\msp                                                     |          1 |         14 |          0 |          1 |         15 |
| backend\target\classes\crypto-config\peerOrganizations\org1.example.com\users\User1@org1.example.com                                                         |          1 |         14 |          0 |          1 |         15 |
| backend\target\classes\crypto-config\peerOrganizations\org1.example.com\users\User1@org1.example.com\msp                                                     |          1 |         14 |          0 |          1 |         15 |
| backend\target\classes\crypto-config\peerOrganizations\org2.example.com                                                                                      |          6 |        168 |          0 |          8 |        176 |
| backend\target\classes\crypto-config\peerOrganizations\org2.example.com (Files)                                                                              |          2 |        112 |          0 |          4 |        116 |
| backend\target\classes\crypto-config\peerOrganizations\org2.example.com\msp                                                                                  |          1 |         14 |          0 |          1 |         15 |
| backend\target\classes\crypto-config\peerOrganizations\org2.example.com\peers                                                                                |          1 |         14 |          0 |          1 |         15 |
| backend\target\classes\crypto-config\peerOrganizations\org2.example.com\peers\peer0.org2.example.com                                                         |          1 |         14 |          0 |          1 |         15 |
| backend\target\classes\crypto-config\peerOrganizations\org2.example.com\peers\peer0.org2.example.com\msp                                                     |          1 |         14 |          0 |          1 |         15 |
| backend\target\classes\crypto-config\peerOrganizations\org2.example.com\users                                                                                |          2 |         28 |          0 |          2 |         30 |
| backend\target\classes\crypto-config\peerOrganizations\org2.example.com\users\Admin@org2.example.com                                                         |          1 |         14 |          0 |          1 |         15 |
| backend\target\classes\crypto-config\peerOrganizations\org2.example.com\users\Admin@org2.example.com\msp                                                     |          1 |         14 |          0 |          1 |         15 |
| backend\target\classes\crypto-config\peerOrganizations\org2.example.com\users\User1@org2.example.com                                                         |          1 |         14 |          0 |          1 |         15 |
| backend\target\classes\crypto-config\peerOrganizations\org2.example.com\users\User1@org2.example.com\msp                                                     |          1 |         14 |          0 |          1 |         15 |
| backend\target\test-classes                                                                                                                                  |          1 |         18 |          0 |          0 |         18 |
| backend\target\test-classes\com                                                                                                                              |          1 |         18 |          0 |          0 |         18 |
| backend\target\test-classes\com\Shopping                                                                                                                     |          1 |         18 |          0 |          0 |         18 |
| database                                                                                                                                                     |          1 |        434 |        129 |         41 |        604 |
| fabricTrackingContract                                                                                                                                       |          9 |        314 |          7 |         60 |        381 |
| fabricTrackingContract (Files)                                                                                                                               |          2 |         78 |          2 |         49 |        129 |
| fabricTrackingContract\.idea                                                                                                                                 |          2 |        106 |          0 |          0 |        106 |
| fabricTrackingContract\src                                                                                                                                   |          2 |         76 |          3 |         10 |         89 |
| fabricTrackingContract\src\main                                                                                                                              |          2 |         76 |          3 |         10 |         89 |
| fabricTrackingContract\src\main\java                                                                                                                         |          2 |         76 |          3 |         10 |         89 |
| fabricTrackingContract\src\main\java\org                                                                                                                     |          2 |         76 |          3 |         10 |         89 |
| fabricTrackingContract\src\main\java\org\yaolin6666                                                                                                          |          2 |         76 |          3 |         10 |         89 |
| fabricTrackingContract\target                                                                                                                                |          3 |         54 |          2 |          1 |         57 |
| fabricTrackingContract\target\classes                                                                                                                        |          2 |         51 |          0 |          0 |         51 |
| fabricTrackingContract\target\classes\org                                                                                                                    |          2 |         51 |          0 |          0 |         51 |
| fabricTrackingContract\target\classes\org\yaolin6666                                                                                                         |          2 |         51 |          0 |          0 |         51 |
| fabricTrackingContract\target\maven-archiver                                                                                                                 |          1 |          3 |          2 |          1 |          6 |
| vue                                                                                                                                                          |        138 |     23,007 |        712 |      2,142 |     25,861 |
| vue\.idea                                                                                                                                                    |          4 |         29 |          0 |          0 |         29 |
| vue\.idea (Files)                                                                                                                                            |          3 |         23 |          0 |          0 |         23 |
| vue\.idea\inspectionProfiles                                                                                                                                 |          1 |          6 |          0 |          0 |          6 |
| vue\Mall-Vue-master                                                                                                                                          |         94 |     17,656 |        627 |      1,758 |     20,041 |
| vue\Mall-Vue-master (Files)                                                                                                                                  |          5 |        146 |         11 |         12 |        169 |
| vue\Mall-Vue-master\.idea                                                                                                                                    |          7 |         99 |          0 |          0 |         99 |
| vue\Mall-Vue-master\.idea (Files)                                                                                                                            |          5 |         65 |          0 |          0 |         65 |
| vue\Mall-Vue-master\.idea\codeStyles                                                                                                                         |          2 |         34 |          0 |          0 |         34 |
| vue\Mall-Vue-master\build                                                                                                                                    |          7 |        457 |         51 |         58 |        566 |
| vue\Mall-Vue-master\config                                                                                                                                   |          3 |         41 |         30 |         19 |         90 |
| vue\Mall-Vue-master\src                                                                                                                                      |         72 |     16,913 |        535 |      1,669 |     19,117 |
| vue\Mall-Vue-master\src (Files)                                                                                                                              |          3 |        104 |          9 |         13 |        126 |
| vue\Mall-Vue-master\src\component                                                                                                                            |         22 |      7,367 |        244 |        733 |      8,344 |
| vue\Mall-Vue-master\src\components                                                                                                                           |         39 |      8,214 |        233 |        829 |      9,276 |
| vue\Mall-Vue-master\src\components (Files)                                                                                                                   |         18 |      4,433 |        135 |        454 |      5,022 |
| vue\Mall-Vue-master\src\components\footer                                                                                                                    |          2 |        199 |          3 |         14 |        216 |
| vue\Mall-Vue-master\src\components\goodsDetail                                                                                                               |          3 |      1,289 |         49 |         83 |      1,421 |
| vue\Mall-Vue-master\src\components\header                                                                                                                    |          2 |        584 |          1 |         85 |        670 |
| vue\Mall-Vue-master\src\components\home                                                                                                                      |          6 |      1,094 |         29 |        135 |      1,258 |
| vue\Mall-Vue-master\src\components\nav                                                                                                                       |          5 |        422 |         16 |         49 |        487 |
| vue\Mall-Vue-master\src\components\signUp                                                                                                                    |          3 |        193 |          0 |          9 |        202 |
| vue\Mall-Vue-master\src\plugins                                                                                                                              |          1 |         40 |         12 |         10 |         62 |
| vue\Mall-Vue-master\src\router                                                                                                                               |          1 |        259 |          3 |         29 |        291 |
| vue\Mall-Vue-master\src\store                                                                                                                                |          1 |         34 |          0 |          6 |         40 |
| vue\Mall-Vue-master\src\utils                                                                                                                                |          1 |         32 |          1 |          7 |         40 |
| vue\Mall-Vue-master\src\vuex                                                                                                                                 |          4 |        863 |         33 |         42 |        938 |
| vue\end                                                                                                                                                      |         40 |      5,322 |         85 |        384 |      5,791 |
| vue\end (Files)                                                                                                                                              |          2 |         37 |          0 |          2 |         39 |
| vue\end\.idea                                                                                                                                                |          5 |         39 |          0 |          0 |         39 |
| vue\end\public                                                                                                                                               |          1 |         16 |          0 |          1 |         17 |
| vue\end\src                                                                                                                                                  |         32 |      5,230 |         85 |        381 |      5,696 |
| vue\end\src (Files)                                                                                                                                          |          3 |         54 |          1 |         13 |         68 |
| vue\end\src\assets                                                                                                                                           |          1 |          5 |          0 |          0 |          5 |
| vue\end\src\assets\css                                                                                                                                       |          1 |          5 |          0 |          0 |          5 |
